sha,date,segment,is_merge,dominant_subsystem,class,subject
0b789e06eb6448cd16bf904b23cc66e565f44295,2026-08-24,FORGE_F1,no,DOCS,DOC_RECEIPT_ONLY,docs(forge-f1): real-container paired A/B evidence for liveness closure
f25d3c6c095beb085118fdf95694c5b9ccef42dc,2026-08-24,FORGE_F1,no,DOCS,DOC_RECEIPT_ONLY,docs(forge-f1): liveness/lease defect closure receipt; self-contained promote gate
b7d3faf345823749dd457c402b5f3bb350c76783,2026-08-24,FORGE_F1,no,SHARED_STORE,FORGE_CORE_REQUIRED,fix(admission): acquire_batch transfers unique job leases; SATURATED coalescing
b1e0709e18cdc13113fdad7c15e3ad436689e2c5,2026-08-24,FORGE_F1,no,QWEN36,QWEN36_REQUIRED,fix(engines): never hold g_xorder_mx across reserve (qwen36 + olmoe)
f75719d25f9d43476d9f39ee571a71944e8e367a,2026-08-24,FORGE_F1,no,SHARED_STORE,FORGE_CORE_REQUIRED,fix(expert-store): F1-LIVE-1 liveness - non-blocking reserve with transient saturation
486f557dc8e1c4bfb10ff7382dcb7c10a7602cd7,2026-08-24,FORGE_F1,no,DOCS,DOC_RECEIPT_ONLY,docs(forge-f1): correct canonical census provenance before verifier
d5cc9c23c14d4fd566e70e3146600e7a8c97b7c2,2026-08-24,FORGE_F1,no,DOCS,DOC_RECEIPT_ONLY,docs(forge-f1): reconcile promgate closeout status before verifier
fcb95f2e67aeb3b9e4db00635b9ad67d8d21b784,2026-08-24,FORGE_F1,no,DOCS,TEST_VALIDATION_REQUIRED,fix(promgate): fail-closed parity arms + receipt reconciliation (pre-verifier closure)
d2801c65562decbb67645ace856175a69fed47c7,2026-08-24,FORGE_F1,no,DOCS,DOC_RECEIPT_ONLY,docs(forge-f1): continuation closeout receipt - Stage C A/B results; verdict
2620ca0e395aae9fad7271e5ee4ab420e2f243e7,2026-08-24,FORGE_F1,no,SHARED_STORE,FORGE_CORE_REQUIRED,fix(expert-store): adapter-declared expert_numel wins over container header in format classification
333a3eeeb7f4b8f57d58907419948bbe0109bf37,2026-08-24,FORGE_F1,no,DOCS,TEST_VALIDATION_REQUIRED,fix(promgate): tolerate known tiny-fixture engine exit-1 (gate is the cmp; not token count)
c1982814f76915201c881b3f020aceadb256975d,2026-08-24,FORGE_F1,no,DOCS,TEST_VALIDATION_REQUIRED,fix(promgate): deterministic per-file baseline extract via git show
e002918d44bf05947ab807687a32ff4d52148e25,2026-08-24,FORGE_F1,no,DOCS,TEST_VALIDATION_REQUIRED,fix(promgate): git archive from toplevel (worktree-safe)
efa9ad080aa66ff773dbb8066236568adf645d71,2026-08-24,FORGE_F1,no,DOCS,TEST_VALIDATION_REQUIRED,fix(promgate): cd to repo root (script lives two levels deep)
